"Community","County","Region","Community Population (2010)","CEC Designation Status","Advanced (v3.0) Designation","Community Size","Points Achieved","List of Completed High Impact Actions","Count of Completed High Impact Actions"
"Village of Oakfield","Genesee","Finger Lakes","1,812","Designated CEC","1-Star","Small community","1,400","• 50% Conversion of Cobra Head Streetlights (700 points) - 3/26/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 3/26/2024 
 • Energy Code Enforcement Training (300 points) - 6/26/2024 
 • Municipal Clean Fleets Inventory (200 points) - 9/3/2024","4"
"Village of Odessa","Schuyler","Southern Tier","517","Designated CEC","1-Star","Small community","1,600","• (Retired) Benchmarking - Advanced Reporting (200 points) - 3/2/2021 
 • Benchmarking - Municipal Buildings (100 points) - 11/3/2020 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/5/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/22/2021 
 • Municipal Clean Fleets Inventory (200 points) - 2/6/2024 
 • Unified Solar Permit (200 points) - 1/26/2021","7"
"Village of Oneida Castle","Oneida","Mohawk Valley","586","Not Designated","","Small community","0","• Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018","1"
"Village of Orchard Park","Erie","Western New York","3,108","Designated CEC","1-Star","Small community","2,600","• (Retired) Benchmarking - Advanced Reporting (200 points) - 9/21/2023 
 • Benchmarking - Municipal Buildings (100 points) - 9/5/2023 
 • Benchmarking – CEC Energy Study Qualification (0 points) - 3/5/2024 
 • Clean Energy Upgrades (500 points) - 8/3/2023 
 • Clean Energy Upgrades -Tier 2 (200 points) - 2/9/2024 
 • Clean Energy Upgrades -Tier 3 (300 points) - 2/9/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/11/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 8/2/2023 
 • LED Street Lights - Decorative Fixtures (200 points) - 8/2/2023 
 • Municipal Clean Fleets Inventory (200 points) - 5/21/2024","10"
"Village of Oriskany Falls","Oneida","Mohawk Valley","658","Not Designated","","Small community","700","• 50% Conversion of Cobra Head Streetlights (700 points) - 7/30/2024","1"
"Village of Ossining","Westchester","Mid-Hudson","27,551","Designated CEC","","Medium community","3,500","• Clean Fleets - Charging Stations (200 points) - 8/3/2021 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 5/26/2022 
 • Community Campaigns - Demand Response (200 points) - 5/18/2021 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 7/27/2021 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/26/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 8/3/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 8/3/2021","7"
"Village of Owego","Tioga","Southern Tier","3,654","Designated CEC","3-Star","Small community","5,100","• Benchmarking - Advanced Reporting (300 points) - 6/4/2024 
 • Benchmarking - Municipal Buildings (100 points) - 11/23/2021 
 • Build Ready - Site Nomination (100 points) - 6/4/2024 
 • CDG Subscription (300 points) - 6/18/2024 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 7/9/2024 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 5/25/2021 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/9/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/1/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 6/1/2021 
 • Municipal Building Demos: Clean Heating and Cooling - Tier 1 (700 points) - 4/16/2024 
 • Municipal Clean Fleets Inventory (200 points) - 6/4/2024","11"
"Village of Oxford","Chenango","Southern Tier","1,330","Not Designated","1-Star","Small community","1,000","• 50% Conversion of Cobra Head Streetlights (700 points) - 7/2/2024 
 • Energy Code Enforcement Training (300 points) - 7/2/2024","2"
"Village of Oyster Bay Cove","Nassau","Long Island","2,265","Designated CEC","","Small community","3,100","• (Retired) Benchmarking - Advanced Reporting (200 points) - 3/8/2022 
 • Benchmarking - Municipal Buildings (100 points) - 1/24/2017 
 • Clean Energy Upgrades (500 points) - 4/4/2017 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/8/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/17/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 10/5/2021 
 • NYStretch Energy Code (1200 points) - 6/14/2022 
 • Unified Solar Permit (200 points) - 11/9/2016","8"
"Village of Painted Post","Steuben","Southern Tier","1,768","Designated CEC","1-Star","Small community","1,300","• Benchmarking - Municipal Buildings (100 points) - 1/10/2019 
 • Energy Code Enforcement Training (300 points) - 4/16/2024 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 9/21/2023 
 • Unified Solar Permit (200 points) - 10/11/2023","4"
"Village of Palatine Bridge","Montgomery","Mohawk Valley","796","Designated CEC","1-Star","Small community","2,700","• Benchmarking - Advanced Reporting (300 points) - 9/3/2024 
 • Benchmarking - Municipal Buildings (100 points) - 6/13/2023 
 • Electric Landscaping Equipment (200 points) - 9/3/2024 
 • Energy Code Enforcement Training (300 points) - 4/10/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 2/20/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 5/3/2023 
 • LED Street Lights - Decorative Fixtures (200 points) - 9/5/2023 
 • Municipal Building Demos: Clean Heating and Cooling - Tier 1 (700 points) - 10/1/2024 
 • Municipal Clean Fleets Inventory (200 points) - 7/23/2024","9"
"Village of Palmyra","Wayne","Finger Lakes","3,305","Designated CEC","1-Star","Small community","1,400","• Benchmarking - Municipal Buildings (100 points) - 9/21/2023 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 9/6/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/13/2023 
 • LED Street Lights - Decorative Fixtures (200 points) - 6/13/2023 
 • Municipal Clean Fleets Inventory (200 points) - 3/26/2024","5"
"Village of Parish","Oswego","Central New York","447","Designated CEC","","Small community","1,200","• Benchmarking - Municipal Buildings (100 points) - 2/15/2022 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 6/14/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/19/2019 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/11/2019 
 • Unified Solar Permit (200 points) - 2/3/2020","5"
"Village of Patchogue","Suffolk","Long Island","12,408","Designated CEC","2-Star","Medium community","4,200","• Benchmarking - Municipal Buildings (100 points) - 10/28/2022 
 • Clean Energy Generation Installation Owned by Municipality Tier 1 (600 points) - 8/13/2024 
 • Clean Energy Generation Installation Owned by Municipality Tier 2 (700 points) - 8/13/2024 
 • Clean Energy Generation Installation Owned by Municipality Tier 3 (800 points) - 9/3/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 9/20/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 10/28/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 10/28/2022 
 • Level 2 Charging Stations - Tier 1 (200 points) - 7/30/2024 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 8/13/2024 
 • Municipal Clean Fleets Inventory (200 points) - 8/13/2024 
 • Unified Solar Permit (200 points) - 10/28/2022","11"
"Village of Pawling","Dutchess","Mid-Hudson","1,995","Not Designated","","Small community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 11/16/2022","1"
"Village of Pelham","Westchester","Mid-Hudson","7,326","Designated CEC","4-Star","Medium community","7,700","• (Retired) Benchmarking - Advanced Reporting (200 points) - 9/20/2022 
 • Benchmarking - Municipal Buildings (100 points) - 3/2/2021 
 • CCA - 100% Renewable Default Supply (1500 points) - 10/3/2024 
 • CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 10/3/2024 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/11/2022 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 12/15/2021 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 8/6/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 3 (700 points) - 10/15/2024 
 • Community Campaigns - Demand Response (200 points) - 9/17/2021 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 3/24/2021 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/8/2020 
 • Level 2 Charging Stations - Tier 1 (200 points) - 8/6/2024 
 • Municipal Clean Fleets Inventory (200 points) - 9/17/2024 
 • Solarize (0 points) - 10/13/2020","15"
"Village of Penn Yan","Yates","Finger Lakes","5,056","Not Designated","","Medium community","0","• Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018","1"
"Village of Perry","Wyoming","Finger Lakes","3,536","Designated CEC","1-Star","Small community","1,900","• (Retired) Benchmarking - Advanced Reporting (200 points) - 11/23/2021 
 • Benchmarking - Municipal Buildings (100 points) - 4/27/2021 
 • Clean Fleets - Light/Medium Duty Electric Vehicles (300 points) - 11/3/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/29/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 3/15/2023 
 • Municipal Clean Fleets Inventory (200 points) - 4/30/2024 
 • Unified Solar Permit (200 points) - 10/26/2021","7"
"Village of Philadelphia","Jefferson","North Country","1,098","Not Designated","1-Star","Small community","1,100","• Energy Code Enforcement Training - Leadership Round (200 points) - 11/4/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/13/2023 
 • Municipal Clean Fleets Inventory (200 points) - 9/30/2024","3"
"Village of Philmont","Columbia","Capital Region","1,377","Designated CEC","3-Star","Small community","5,100","• Benchmarking - Advanced Reporting (300 points) - 10/3/2024 
 • Benchmarking - Municipal Buildings (100 points) - 2/27/2018 
 • Clean Energy Upgrades (500 points) - 6/19/2018 
 • Clean Fleets - Charging Stations (200 points) - 7/5/2022 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 9/17/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 3/26/2024 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 4/30/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 5/10/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 7/5/2022 
 • Municipal Clean Fleets Inventory (200 points) - 10/3/2024 
 • NYStretch Energy Code (1200 points) - 9/17/2021 
 • Unified Solar Permit (200 points) - 2/27/2018","13"
"Village of Phoenix","Oswego","Central New York","0","Designated CEC","1-Star","Small community","1,400","• Benchmarking - Municipal Buildings (100 points) - 12/18/2018 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 4/5/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/11/2019 
 • Municipal Clean Fleets Inventory (200 points) - 8/20/2024 
 • Unified Solar Permit (200 points) - 1/10/2019","6"
"Village of Piermont","Rockland","Mid-Hudson","2,517","Designated CEC","","Small community","1,800","• Benchmarking - Municipal Buildings (100 points) - 11/6/2018 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/8/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 1/25/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 5/10/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/4/2019 
 • Unified Solar Permit (200 points) - 1/10/2019","6"
"Village of Pittsford","Monroe","Finger Lakes","1,419","Designated CEC","1-Star","Small community","1,800","• 50% Conversion of Decorative Streetlights (200 points) - 2/5/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 11/23/2021 
 • Municipal Clean Fleets Inventory (200 points) - 12/21/2023 
 • NYStretch Energy Code (1200 points) - 6/7/2022","4"
"Village of Pleasantville","Westchester","Mid-Hudson","7,513","Designated CEC","3-Star","Medium community","6,700","• Climate Smart Communities Certification - Bronze (600 points) - 8/17/2021 
 • Climate Smart Communities Recertification - Bronze CSC Recertification (800 points) - 9/30/2024 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 10/28/2022 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 10/2/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 3 (700 points) - 10/2/2024 
 • Community Campaigns - Demand Response (200 points) - 3/29/2022 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 1/26/2021 
 • Community Choice Aggregation - Expired Version (0 points) - 7/8/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 5/5/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 8/17/2021 
 • Level 2 Charging Stations - Tier 1 (200 points) - 4/10/2024 
 • Level 2 Charging Stations - Tier 2 (400 points) - 4/30/2024 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 4/10/2024","13"
"Village of Port Byron","Cayuga","Central New York","1,101","Designated CEC","","Small community","1,700","• Benchmarking - Municipal Buildings (100 points) - 7/27/2018 
 • Clean Energy Upgrades (500 points) - 2/5/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 4/18/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/26/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 5/21/2019 
 • Unified Solar Permit (200 points) - 8/13/2018","6"
"Village of Port Chester","Westchester","Mid-Hudson","31,693","Designated CEC","","Medium community","1,000","• Benchmarking - Municipal Buildings (100 points) - 5/10/2018 
 • Energy Code Enforcement Training - V.1 (0 points) - 5/10/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 5/10/2018 
 • Unified Solar Permit (200 points) - 5/10/2018","4"
"Village of Port Jefferson","Suffolk","Long Island","7,962","Not Designated","","Medium community","200","• Unified Solar Permit (200 points) - 7/25/2017","1"
"Village of Port Washington North","Nassau","Long Island","3,160","Not Designated","","Small community","200","• Unified Solar Permit (200 points) - 6/20/2017","1"
"Village of Potsdam","St. Lawrence","North Country","8,312","Designated CEC","2-Star","Medium community","3,100","• 50% Conversion of Decorative Streetlights (200 points) - 8/20/2024 
 • Benchmarking - Advanced Reporting (300 points) - 11/5/2024 
 • CDG Subscription (300 points) - 11/5/2024 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/20/2021 
 • Climate Smart Communities Recertification - Bronze CSC Recertification (800 points) - 6/26/2024 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/8/2021 
 • Municipal Clean Fleets Inventory (200 points) - 10/10/2024","7"
